age,amount,checking_balance,credit_history,default,dependents,employment_duration,existing_loans_count,gender,housing,job,months_loan_duration,other_credit,percent_of_income,phone,purpose,race,savings_balance,status,years_at_residence,zipcode
66.0,3205.0,< 0 USD,bad,yes,3.0,< 1 year,3.0,F,other,unskilled,19.0,bank,6.0,no,furniture,BA,>1000 USD,married,20.0,00601
31.0,5799.0,unknown,bad,yes,2.0,1 - 3 years,3.0,F,rent,none,60.0,none,7.0,no,education,BA,500 - 1000 USD,single,12.0,00631
69.0,2015.0,unknown,bad,no,3.0,3 - 5 years,1.0,F,rent,skilled,56.0,stores,4.0,no,car,SA,unknown,married,16.0,00612
23.0,7019.0,1 - 200 USD,critical,yes,2.0,1 - 3 years,1.0,F,own,unskilled,63.0,stores,12.0,no,education,BA,500 - 1000 USD,divorced,1.0,00610
44.0,5424.0,1 - 200 USD,no credit,yes,1.0,unknown,0.0,F,rent,unskilled,13.0,none,20.0,no,education,BA,>1000 USD,divorced,19.0,00604
23.0,9664.0,< 0 USD,excellent,yes,1.0,3 - 5 years,0.0,M,rent,skilled,24.0,stores,6.0,yes,car,SA,< 100 USD,divorced,20.0,00611
42.0,4006.0,unknown,excellent,no,2.0,> 7 years,0.0,M,other,unskilled,61.0,none,25.0,yes,car,SA,< 100 USD,single,7.0,00601
67.0,7262.0,>= 200 USD,critical,no,1.0,< 1 year,0.0,M,rent,unskilled,34.0,stores,19.0,yes,business,CA,unknown,married,22.0,00603
63.0,8052.0,1 - 200 USD,good,no,2.0,> 7 years,0.0,F,other,none,33.0,none,7.0,no,education,BA,500 - 1000 USD,married,20.0,00601
58.0,4746.0,1 - 200 USD,excellent,yes,3.0,> 7 years,2.0,F,other,management,12.0,stores,25.0,no,furniture,CA,>1000 USD,single,25.0,00611
72.0,5031.0,< 0 USD,critical,yes,1.0,unknown,2.0,F,own,management,75.0,none,12.0,no,other,SA,>1000 USD,divorced,16.0,00605
65.0,1684.0,1 - 200 USD,excellent,no,1.0,1 - 3 years,3.0,F,own,unskilled,49.0,none,10.0,no,furniture,CA,500 - 1000 USD,divorced,6.0,00611
23.0,490.0,< 0 USD,no credit,yes,1.0,3 - 5 years,3.0,F,other,skilled,53.0,stores,14.0,yes,other,SA,500 - 1000 USD,divorced,6.0,00631
83.0,1893.0,< 0 USD,bad,no,2.0,3 - 5 years,0.0,F,rent,none,43.0,stores,9.0,yes,business,AA,500 - 1000 USD,single,3.0,00601
66.0,2154.0,< 0 USD,critical,no,2.0,unknown,3.0,M,rent,skilled,62.0,bank,23.0,no,furniture,CA,>1000 USD,divorced,1.0,00631
42.0,5442.0,unknown,good,yes,2.0,< 1 year,3.0,F,other,skilled,40.0,bank,3.0,no,education,BA,>1000 USD,single,22.0,00612
65.0,9826.0,< 0 USD,good,yes,1.0,3 - 5 years,2.0,M,rent,unskilled,47.0,none,17.0,no,car,CA,100 - 500 USD,single,22.0,00605
45.0,6989.0,>= 200 USD,no credit,no,3.0,< 1 year,2.0,F,own,skilled,54.0,none,9.0,no,education,BA,500 - 1000 USD,single,23.0,00603
74.0,4306.0,1 - 200 USD,good,yes,3.0,unknown,3.0,M,other,management,15.0,stores,4.0,yes,education,AA,< 100 USD,single,18.0,00705
52.0,7941.0,>= 200 USD,bad,no,1.0,1 - 3 years,0.0,F,other,management,2.0,none,5.0,yes,car,SA,< 100 USD,single,7.0,00705
54.0,4096.0,1 - 200 USD,good,no,2.0,1 - 3 years,2.0,M,other,unskilled,57.0,none,20.0,no,furniture,SA,< 100 USD,single,24.0,00603
25.0,2988.0,< 0 USD,good,yes,1.0,1 - 3 years,2.0,M,own,none,70.0,bank,9.0,yes,other,BA,>1000 USD,single,14.0,00602
39.0,4100.0,unknown,no credit,yes,1.0,< 1 year,1.0,F,rent,none,63.0,stores,24.0,no,car,SA,unknown,divorced,19.0,00611
19.0,6071.0,1 - 200 USD,good,no,1.0,> 7 years,3.0,F,rent,skilled,62.0,stores,2.0,no,car,AA,500 - 1000 USD,married,8.0,00605
70.0,3972.0,unknown,excellent,no,1.0,unknown,0.0,F,rent,unskilled,69.0,none,11.0,no,business,SA,>1000 USD,single,24.0,00610
40.0,451.0,>= 200 USD,critical,yes,3.0,3 - 5 years,0.0,F,rent,none,61.0,none,18.0,yes,other,BA,500 - 1000 USD,single,23.0,00603
82.0,59.0,>= 200 USD,excellent,yes,1.0,3 - 5 years,2.0,M,rent,skilled,3.0,bank,6.0,yes,education,AA,unknown,divorced,24.0,00612
34.0,7661.0,unknown,bad,yes,1.0,< 1 year,0.0,F,own,skilled,13.0,stores,7.0,yes,other,CA,500 - 1000 USD,married,10.0,00604
53.0,2953.0,< 0 USD,bad,no,1.0,1 - 3 years,2.0,M,rent,none,2.0,bank,7.0,yes,car,SA,< 100 USD,single,25.0,00612
18.0,4982.0,1 - 200 USD,bad,no,2.0,3 - 5 years,0.0,M,own,none,2.0,stores,10.0,no,other,SA,< 100 USD,single,12.0,00631
34.0,9371.0,1 - 200 USD,excellent,yes,2.0,1 - 3 years,1.0,M,other,management,3.0,bank,9.0,yes,furniture,BA,unknown,single,4.0,00603
81.0,6576.0,>= 200 USD,critical,no,1.0,> 7 years,2.0,M,own,skilled,12.0,none,17.0,yes,other,CA,>1000 USD,divorced,10.0,00631
69.0,390.0,unknown,no credit,yes,2.0,< 1 year,2.0,M,rent,skilled,41.0,none,19.0,no,other,SA,>1000 USD,married,11.0,00602
73.0,5059.0,unknown,good,no,1.0,1 - 3 years,2.0,F,rent,skilled,21.0,stores,13.0,yes,education,AA,>1000 USD,divorced,8.0,00605
77.0,1275.0,1 - 200 USD,excellent,yes,1.0,> 7 years,0.0,F,rent,management,7.0,none,3.0,yes,car,BA,500 - 1000 USD,single,12.0,00631
65.0,6590.0,< 0 USD,bad,yes,3.0,unknown,1.0,M,other,none,10.0,bank,19.0,yes,other,AA,500 - 1000 USD,divorced,19.0,00631
65.0,4351.0,< 0 USD,no credit,no,2.0,3 - 5 years,1.0,F,own,management,52.0,bank,25.0,yes,car,AA,unknown,married,3.0,00705
23.0,3330.0,>= 200 USD,bad,no,2.0,1 - 3 years,2.0,F,rent,none,5.0,bank,22.0,yes,other,AA,>1000 USD,divorced,13.0,00604
63.0,2942.0,unknown,good,yes,1.0,3 - 5 years,3.0,F,own,unskilled,56.0,none,12.0,yes,education,CA,>1000 USD,divorced,20.0,00631
21.0,3371.0,< 0 USD,bad,no,1.0,< 1 year,1.0,M,rent,management,70.0,bank,13.0,no,furniture,SA,>1000 USD,single,24.0,00705
31.0,7174.0,>= 200 USD,good,no,1.0,< 1 year,3.0,F,other,management,5.0,stores,7.0,yes,education,AA,< 100 USD,single,20.0,00602
83.0,3539.0,< 0 USD,good,yes,3.0,< 1 year,0.0,M,own,skilled,23.0,bank,3.0,yes,furniture,SA,< 100 USD,single,4.0,00602
29.0,4234.0,1 - 200 USD,excellent,no,1.0,< 1 year,0.0,F,other,none,15.0,none,1.0,yes,business,CA,< 100 USD,married,8.0,00603
60.0,4954.0,unknown,bad,no,2.0,3 - 5 years,3.0,M,rent,skilled,55.0,bank,6.0,no,car,CA,500 - 1000 USD,divorced,3.0,00603
51.0,7887.0,unknown,bad,yes,1.0,1 - 3 years,3.0,F,other,management,37.0,stores,22.0,yes,business,BA,unknown,divorced,13.0,00611
45.0,6391.0,unknown,good,no,3.0,< 1 year,1.0,F,other,skilled,10.0,none,22.0,yes,furniture,SA,unknown,single,1.0,00631
53.0,5943.0,>= 200 USD,no credit,no,1.0,3 - 5 years,1.0,F,rent,skilled,59.0,none,19.0,no,education,BA,>1000 USD,divorced,4.0,00610
24.0,2721.0,unknown,bad,yes,2.0,> 7 years,3.0,F,other,unskilled,14.0,none,4.0,no,furniture,AA,500 - 1000 USD,single,19.0,00631
52.0,5400.0,< 0 USD,excellent,yes,2.0,1 - 3 years,2.0,F,rent,unskilled,52.0,bank,3.0,yes,education,SA,500 - 1000 USD,married,11.0,00705
39.0,6902.0,>= 200 USD,no credit,yes,1.0,1 - 3 years,3.0,F,rent,skilled,55.0,stores,5.0,no,furniture,AA,unknown,married,21.0,00605
34.0,2378.0,< 0 USD,excellent,yes,3.0,3 - 5 years,2.0,M,own,management,26.0,none,10.0,yes,business,AA,500 - 1000 USD,married,17.0,00602
48.0,9548.0,< 0 USD,excellent,yes,3.0,> 7 years,3.0,F,other,unskilled,11.0,none,22.0,no,car,BA,unknown,single,14.0,00601
49.0,6796.0,>= 200 USD,excellent,no,1.0,< 1 year,0.0,M,own,none,9.0,bank,11.0,yes,business,BA,500 - 1000 USD,married,12.0,00631
39.0,2504.0,unknown,good,yes,2.0,unknown,2.0,M,other,unskilled,10.0,none,24.0,no,furniture,AA,< 100 USD,divorced,24.0,00602
70.0,4013.0,1 - 200 USD,bad,yes,2.0,< 1 year,3.0,F,own,skilled,71.0,stores,10.0,no,furniture,BA,100 - 500 USD,divorced,15.0,00602
21.0,2694.0,< 0 USD,no credit,yes,2.0,1 - 3 years,2.0,M,rent,unskilled,53.0,bank,25.0,no,business,SA,>1000 USD,single,8.0,00611
53.0,8115.0,>= 200 USD,good,yes,1.0,> 7 years,2.0,F,other,unskilled,61.0,none,3.0,yes,other,AA,>1000 USD,married,2.0,00603
21.0,4900.0,< 0 USD,bad,yes,3.0,> 7 years,0.0,F,other,unskilled,59.0,stores,10.0,yes,car,CA,100 - 500 USD,married,3.0,00604
60.0,8258.0,>= 200 USD,excellent,no,2.0,1 - 3 years,2.0,M,other,none,66.0,none,11.0,yes,other,BA,>1000 USD,divorced,9.0,00604
84.0,5103.0,>= 200 USD,excellent,yes,1.0,3 - 5 years,0.0,F,rent,management,21.0,none,7.0,yes,business,AA,< 100 USD,divorced,1.0,00604
85.0,1014.0,< 0 USD,critical,yes,1.0,> 7 years,2.0,F,own,management,71.0,stores,12.0,no,business,CA,500 - 1000 USD,married,18.0,00611
30.0,9174.0,>= 200 USD,excellent,no,2.0,3 - 5 years,3.0,F,rent,none,1.0,none,18.0,no,car,CA,500 - 1000 USD,divorced,22.0,00602
20.0,9455.0,unknown,excellent,no,2.0,< 1 year,2.0,M,own,none,28.0,stores,4.0,yes,education,AA,unknown,divorced,3.0,00631
45.0,4414.0,< 0 USD,good,no,3.0,3 - 5 years,2.0,F,rent,unskilled,73.0,none,19.0,no,furniture,BA,100 - 500 USD,divorced,21.0,00611
56.0,8155.0,< 0 USD,good,yes,3.0,1 - 3 years,2.0,M,own,unskilled,52.0,bank,25.0,yes,car,SA,500 - 1000 USD,married,6.0,00610
47.0,5390.0,< 0 USD,critical,yes,3.0,unknown,1.0,F,own,management,58.0,bank,10.0,no,other,CA,unknown,divorced,10.0,00601
55.0,6641.0,>= 200 USD,no credit,yes,3.0,< 1 year,2.0,F,rent,skilled,32.0,bank,10.0,no,furniture,SA,100 - 500 USD,divorced,17.0,00612
61.0,9987.0,< 0 USD,excellent,no,1.0,3 - 5 years,0.0,M,own,management,28.0,bank,20.0,no,furniture,BA,>1000 USD,divorced,13.0,00605
75.0,6784.0,>= 200 USD,bad,yes,3.0,3 - 5 years,0.0,M,rent,unskilled,5.0,none,9.0,yes,other,AA,< 100 USD,divorced,25.0,00601
32.0,1490.0,1 - 200 USD,critical,yes,1.0,< 1 year,2.0,F,rent,unskilled,51.0,bank,20.0,no,car,AA,500 - 1000 USD,single,12.0,00612
64.0,1623.0,1 - 200 USD,good,yes,1.0,1 - 3 years,1.0,M,other,management,46.0,bank,2.0,no,car,AA,100 - 500 USD,married,8.0,00602
33.0,264.0,1 - 200 USD,good,no,2.0,3 - 5 years,1.0,M,other,skilled,74.0,none,2.0,no,car,AA,unknown,single,15.0,00604
43.0,9481.0,>= 200 USD,bad,yes,2.0,unknown,1.0,M,own,unskilled,13.0,none,23.0,yes,other,AA,unknown,single,20.0,00612
79.0,4015.0,unknown,no credit,no,1.0,3 - 5 years,0.0,M,other,none,20.0,none,4.0,no,car,BA,100 - 500 USD,married,12.0,00631
73.0,3502.0,< 0 USD,good,yes,2.0,unknown,1.0,M,rent,management,1.0,bank,9.0,no,education,BA,< 100 USD,divorced,20.0,00612
71.0,4689.0,< 0 USD,good,yes,3.0,unknown,2.0,M,own,management,73.0,stores,24.0,no,car,AA,500 - 1000 USD,married,18.0,00610
74.0,4332.0,>= 200 USD,good,no,3.0,> 7 years,2.0,F,rent,management,3.0,bank,10.0,yes,business,BA,< 100 USD,single,3.0,00601
38.0,7717.0,< 0 USD,bad,yes,2.0,< 1 year,1.0,F,other,none,50.0,none,10.0,no,education,SA,500 - 1000 USD,divorced,9.0,00605
61.0,1678.0,>= 200 USD,excellent,no,2.0,unknown,3.0,F,own,skilled,22.0,stores,16.0,no,business,AA,500 - 1000 USD,married,6.0,00610
71.0,1335.0,< 0 USD,excellent,no,3.0,> 7 years,0.0,F,other,skilled,2.0,stores,18.0,yes,furniture,SA,500 - 1000 USD,married,12.0,00603
75.0,8779.0,1 - 200 USD,critical,no,2.0,3 - 5 years,1.0,F,other,skilled,29.0,bank,12.0,yes,other,BA,500 - 1000 USD,divorced,12.0,00605
33.0,5862.0,1 - 200 USD,critical,yes,3.0,< 1 year,3.0,M,other,none,68.0,none,12.0,no,business,SA,500 - 1000 USD,married,2.0,00705
37.0,7240.0,< 0 USD,excellent,yes,2.0,> 7 years,1.0,M,other,skilled,46.0,bank,17.0,no,other,AA,>1000 USD,divorced,14.0,00601
75.0,6783.0,>= 200 USD,critical,yes,1.0,3 - 5 years,3.0,F,own,management,67.0,stores,12.0,yes,education,CA,< 100 USD,married,4.0,00705
75.0,1271.0,1 - 200 USD,excellent,yes,3.0,3 - 5 years,1.0,F,other,none,53.0,stores,21.0,yes,business,BA,500 - 1000 USD,married,1.0,00705
19.0,8493.0,< 0 USD,excellent,no,2.0,1 - 3 years,3.0,F,other,management,61.0,bank,8.0,yes,car,SA,< 100 USD,divorced,7.0,00604
29.0,7923.0,>= 200 USD,critical,no,2.0,1 - 3 years,1.0,F,rent,management,11.0,bank,14.0,no,furniture,BA,100 - 500 USD,married,25.0,00603
74.0,8650.0,>= 200 USD,excellent,yes,3.0,> 7 years,3.0,F,other,management,6.0,stores,8.0,no,furniture,BA,>1000 USD,divorced,19.0,00601
58.0,7959.0,1 - 200 USD,bad,no,3.0,3 - 5 years,3.0,M,rent,skilled,12.0,stores,22.0,no,furniture,AA,100 - 500 USD,single,15.0,00603
43.0,9606.0,>= 200 USD,critical,yes,2.0,3 - 5 years,0.0,F,rent,skilled,25.0,stores,7.0,yes,car,AA,unknown,married,17.0,00605
76.0,7473.0,1 - 200 USD,critical,no,1.0,unknown,3.0,F,own,unskilled,6.0,bank,23.0,no,other,SA,unknown,single,14.0,00603
19.0,7493.0,1 - 200 USD,bad,yes,1.0,unknown,1.0,F,own,management,53.0,bank,18.0,no,education,BA,500 - 1000 USD,single,5.0,00601
51.0,9296.0,>= 200 USD,critical,no,2.0,< 1 year,0.0,F,own,none,33.0,stores,9.0,no,furniture,AA,unknown,divorced,21.0,00611
70.0,2854.0,< 0 USD,excellent,yes,1.0,< 1 year,0.0,M,rent,none,7.0,none,3.0,no,car,CA,< 100 USD,single,9.0,00612
72.0,5965.0,1 - 200 USD,critical,yes,3.0,3 - 5 years,2.0,M,own,skilled,38.0,bank,24.0,no,other,CA,< 100 USD,single,17.0,00612
52.0,707.0,< 0 USD,excellent,no,1.0,1 - 3 years,0.0,M,own,unskilled,15.0,none,20.0,yes,business,SA,100 - 500 USD,single,6.0,00631
33.0,2975.0,1 - 200 USD,no credit,yes,2.0,unknown,1.0,F,other,unskilled,36.0,stores,7.0,no,business,AA,unknown,divorced,10.0,00605
64.0,206.0,>= 200 USD,bad,no,2.0,1 - 3 years,2.0,F,other,management,38.0,stores,7.0,yes,other,BA,< 100 USD,married,25.0,00610
83.0,1430.0,>= 200 USD,good,yes,1.0,< 1 year,3.0,M,own,unskilled,36.0,stores,12.0,yes,car,AA,unknown,married,19.0,00610
61.0,9159.0,unknown,no credit,no,2.0,1 - 3 years,3.0,F,own,none,14.0,bank,7.0,yes,other,SA,< 100 USD,divorced,25.0,00603
77.0,5362.0,unknown,good,yes,1.0,> 7 years,2.0,F,other,skilled,75.0,stores,17.0,no,business,AA,unknown,divorced,4.0,00610
82.0,8643.0,1 - 200 USD,good,yes,2.0,1 - 3 years,2.0,M,own,skilled,15.0,bank,20.0,yes,business,SA,< 100 USD,divorced,3.0,00610
49.0,5370.0,< 0 USD,critical,no,3.0,3 - 5 years,3.0,F,other,skilled,11.0,none,8.0,yes,education,AA,500 - 1000 USD,married,10.0,00603
29.0,3458.0,1 - 200 USD,bad,yes,1.0,3 - 5 years,1.0,M,rent,skilled,56.0,none,7.0,no,furniture,AA,100 - 500 USD,married,8.0,00612
